"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Infant Birth Weight 12"	"Infant Birth Weight 12 Code"	Births
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"499 grams or less"	"01"	10
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"500 - 999 grams"	"02"	41
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"1000 - 1499 grams"	"03"	37
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"1500 - 1999 grams"	"04"	106
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"2000 - 2499 grams"	"05"	346
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"2500 - 2999 grams"	"06"	1130
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"3000 - 3499 grams"	"07"	1893
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"3500 - 3999 grams"	"08"	1149
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"4000 - 4499 grams"	"09"	275
	"Alabama"	"01"	"2019"	"2019"	"January"	"1"	"4500 - 4999 grams"	"10"	40
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"499 grams or less"	"01"	14
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"500 - 999 grams"	"02"	19
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"1000 - 1499 grams"	"03"	39
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"1500 - 1999 grams"	"04"	81
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"2000 - 2499 grams"	"05"	289
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"2500 - 2999 grams"	"06"	951
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"3000 - 3499 grams"	"07"	1719
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"3500 - 3999 grams"	"08"	1020
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"4000 - 4499 grams"	"09"	223
	"Alabama"	"01"	"2019"	"2019"	"February"	"2"	"4500 - 4999 grams"	"10"	37
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"499 grams or less"	"01"	13
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"500 - 999 grams"	"02"	31
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"1000 - 1499 grams"	"03"	38
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"1500 - 1999 grams"	"04"	77
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"2000 - 2499 grams"	"05"	283
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"2500 - 2999 grams"	"06"	996
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"3000 - 3499 grams"	"07"	1731
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"3500 - 3999 grams"	"08"	1092
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"4000 - 4499 grams"	"09"	239
	"Alabama"	"01"	"2019"	"2019"	"March"	"3"	"4500 - 4999 grams"	"10"	26
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"499 grams or less"	"01"	10
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"500 - 999 grams"	"02"	27
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"1000 - 1499 grams"	"03"	35
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"1500 - 1999 grams"	"04"	90
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"2000 - 2499 grams"	"05"	269
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"2500 - 2999 grams"	"06"	936
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"3000 - 3499 grams"	"07"	1801
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"3500 - 3999 grams"	"08"	1066
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"4000 - 4499 grams"	"09"	255
	"Alabama"	"01"	"2019"	"2019"	"April"	"4"	"4500 - 4999 grams"	"10"	42
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"500 - 999 grams"	"02"	30
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"1000 - 1499 grams"	"03"	53
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"1500 - 1999 grams"	"04"	108
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"2000 - 2499 grams"	"05"	315
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"2500 - 2999 grams"	"06"	999
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"3000 - 3499 grams"	"07"	1878
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"3500 - 3999 grams"	"08"	1152
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"4000 - 4499 grams"	"09"	224
	"Alabama"	"01"	"2019"	"2019"	"May"	"5"	"4500 - 4999 grams"	"10"	38
	"Alabama"	"01"	"2019"	"2019"	"June"	"6"	"499 grams or less"	"01"	14
	"Alabama"	"01"	"2019"	"2019"	"June"	"6"	"500 - 999 grams"	"02"	36
